word,duration,V.Mean.Sum,A.Mean.Sum,D.Mean.Sum
president,0.66,5.23,4.71,4.38
commander,0.4,4.73,4.6,6.68
chief,0.41,5.83,3.25,4.89
responsibility,0.81,4.68,5.3,6.79
safety,0.47,7.14,3.8,6.47
people,0.33,5.7,3.77,5.4
fight,0.25,3.54,6.33,4.68
need,0.2,5.45,3.67,5.06
use,0.28,5.18,4.19,5
effective,0.7,6.95,3.95,7.2
tool,0.4,5.07,3.91,5.98
disposal,0.57,4,4.42,4.1
defend,0.31,6.3,4.55,6.64
security,0.68,6.41,4.19,6
protect,0.45,6.83,3.7,5.83
civil,0.3,5.8,2.95,6.04
constitution,0.72,5.47,3.35,5.4
midnight,0.42,6.18,4.05,6.26
important,0.48,6.82,4.71,6.39
use,0.26,5.18,4.19,5
will,0.22,5.32,2.9,6.61
expire,0.61,3.16,4,3.8
congress,0.4,3.55,3.61,3.48
legislation,0.68,3.55,4.09,3.85
would,0.35,5.91,3.81,5.94
freedom,0.43,7.72,5.67,7.37
act,0.29,5.64,4.19,6.11
senate,0.36,3.38,3.63,3.52
want,0.2,6,5.29,5.39
be,0.09,6.18,3.43,5.5
clear,0.29,6.14,2.71,6.17
terrorist,0.36,2.35,6.09,3.02
national,0.41,5.62,3.45,6.63
security,0.36,6.41,4.19,6
can,0.15,6.41,3.14,6.44
seek,0.28,6.25,3.9,6.16
court,0.34,3.52,4.43,3.94
order,0.33,5.82,3.19,6.56
obtain,0.4,5.11,3.67,6.7
certain,0.4,6.11,3,6.78
business,0.4,5.48,3.71,5.35
law,0.21,4.55,3.55,4.83
enforcement,0.51,4.67,4.48,4
can,0.15,6.41,3.14,6.44
seek,0.29,6.25,3.9,6.16
roving,0.41,4.89,4,4.86
keep,0.25,6.32,3.43,5.71
switch,0.4,5.29,3.9,6
cell,0.28,4.09,4.23,4.86
can,0.14,6.41,3.14,6.44
seek,0.28,6.25,3.9,6.16
lone,0.29,3.75,3.84,4.32
may,0.19,5.55,3.19,5.94
be,0.15,6.18,3.43,5.5
terrorist,0.46,2.35,6.09,3.02
group,0.32,5.78,3.43,4.39
controversial,0.7,4.73,6.26,4.71
have,0.13,5.86,3.52,5.72
numerous,0.41,5.35,3.39,6.25
times,0.49,5.91,3.19,6.12
